age,Sr,eSr,d13C,ed13C,d34S,ed34S,fR,efR,fL,efL,fA,efA,fA_Godderis,efA_Godderis,fAw_fA,efAw_fA,fAw_fA_Godderis,efAw_fA_Godderis,fD,efD,fD_Godderis,efD_Godderis,RT,eRT,GEOG,eGEOG,GEOG_Godderis,eGEOG_Godderis,fSR,efSR,fC,efC,fHR,efHR,fHRall,efHRall
531,89.1,2.419794621,0,0.383574975,32.56,0.9434553725,1.02819,0.0822552,1.008,0.4032,0.679,0.3395,0.9639,0.2168775,1,0.2,0.819635,0.4098175,1.12,0.56,0.6199818073,0.1394959066,0.0284484855,0.0142242432,0.6,5,-6.13095,1.25,1.566,0.27405,0.75,0.16875,0,0,0,0
530,89,2.419794621,0,0.383574975,33.1,0.94426086,1.0283,0.082264,1.05,0.42,0.66,0.33,0.961,0.216225,1,0.2,0.82035,0.410175,1.12,0.56,0.626440267,0.14094906,0.028706285,0.014353143,0.6,5,-5.9985,1.25,1.59,0.27825,0.75,0.16875,0,0,0,0
529,89,2.419794621,0,0.3837338775,33.06,0.9847866173,1.02824,0.0822592,1.05,0.42,0.658,0.329,0.9581,0.2155725,1,0.2,0.821065,0.4105325,1.12,0.56,0.6328987267,0.1424022134,0.0289640845,0.0144820427,0.6,5,-5.86605,1.25,1.601,0.280175,0.75,0.16875,0,0,0,0
528,89,2.419794621,0,0.38389278,33.02,1.0253123746,1.02818,0.0822544,1.05,0.42,0.656,0.328,0.9552,0.21492,1,0.2,0.82178,0.41089,1.12,0.56,0.6393571864,0.1438553668,0.029221884,0.0146109424,0.6,5,-5.7336,1.25,1.612,0.2821,0.75,0.16875,0,0,0,0
527,89,2.419794621,0,0.3840516825,32.98,1.0658381319,1.02812,0.0822496,1.05,0.42,0.654,0.327,0.9523,0.2142675,1,0.2,0.822495,0.4112475,1.12,0.56,0.6458156461,0.1453085202,0.0294796835,0.0147398421,0.6,5,-5.60115,1.25,1.623,0.284025,0.75,0.16875,0,0,0,0
526,89,2.419794621,0,0.384210585,32.94,1.1063638892,1.02806,0.0822448,1.05,0.42,0.652,0.326,0.9494,0.213615,1,0.2,0.82321,0.411605,1.12,0.56,0.6522741058,0.1467616736,0.029737483,0.0148687418,0.6,5,-5.4687,1.25,1.634,0.28595,0.75,0.16875,0,0,0,0
525,89,2.419794621,0,0.3843694875,32.9,1.1468896465,1.028,0.08224,1.05,0.42,0.65,0.325,0.9465,0.2129625,1,0.2,0.823925,0.4119625,1.12,0.56,0.6587325655,0.148214827,0.0299952825,0.0149976415,0.6,5,-5.33625,1.25,1.645,0.287875,0.75,0.16875,0,0,0,0
524,89,2.419794621,0,0.38452839,32.86,1.1874154038,1.02794,0.0822352,1.05,0.42,0.648,0.324,0.9436,0.21231,1,0.2,0.82464,0.41232,1.12,0.56,0.6651910252,0.1496679804,0.030253082,0.0151265412,0.6,5,-5.2038,1.25,1.656,0.2898,0.75,0.16875,0,0,0,0
523,89,2.419794621,0,0.3846872925,32.82,1.2279411611,1.02788,0.0822304,1.05,0.42,0.646,0.323,0.9407,0.2116575,1,0.2,0.825355,0.4126775,1.12,0.56,0.6716494849,0.1511211338,0.0305108815,0.0152554409,0.6,5,-5.07135,1.25,1.667,0.291725,0.75,0.16875,0,0,0,0
522,89,2.419794621,0,0.384846195,32.78,1.2684669184,1.02782,0.0822256,1.05,0.42,0.644,0.322,0.9378,0.211005,1,0.2,0.82607,0.413035,1.12,0.56,0.6781079446,0.1525742872,0.030768681,0.0153843406,0.6,5,-4.9389,1.25,1.678,0.29365,0.75,0.16875,0,0,0,0
